x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0441806538	38.9037532028	1533291	6479014	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	2000 BLOCK L ST NW NORTH SIDE	DC	VA	811335	9712.0	396168	137322	Parking_Violations_in_July_2011.csv	2011-07-06T16:09:00.000Z
-77.0425677615	38.9056635726	5680803	10607968	False	P039	PARK AT EXPIRED METER	1900 BLOCK M ST NW SOUTH SIDE	DC	4D	809121	7809.0	396308	137534	Parking_Violations_in_July_2009.csv	2009-07-02T14:08:00.000Z
-77.0207342646	38.8750860519	5962861	5979623	False	P039	PARK AT EXPIRED METER	0600 BLOCK WATER ST SW NORTH SIDE	DC	UT	800032	31.0	398201	134139	Parking_Violations_in_October_2011.csv	2011-10-07T17:55:00.000Z
-77.0337435918	38.9694722285	10518033	6853772	False	P076		6600 BLOCK LUZON AV NW NORTH SIDE	MD	4D	803834	3137.0	397076	144617	Parking_Violations_in_April_2011.csv	2011-04-04T01:46:00.000Z
-77.0073714937	38.9260569559	4157351	4558326	False	P173	NO PARKING STREET CLEANING	UNIT BLOCK GIRARD ST NE NORTH SIDE	VA	4D	800752	550.0	399361	139797	Parking_Violations_in_May_2012.csv	2012-05-24T09:45:00.000Z
-77.0020427616	38.8995636447	3224108	6794129	False	P039	PARK AT EXPIRED METER	0800 BLOCK 3RD ST NE WEST SIDE	DC	SW	810721	9187.0	399823	136856	Parking_Violations_in_April_2011.csv	2011-04-13T07:02:00.000Z
-77.0299886011	38.9035234907	9687858	9310087	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	1300 L ST NW BLOCK SOUTH SIDE	MD		240642	7643.0	397399	137296	Parking_Violations_in_March_2013.csv	2013-03-28T17:42:00.000Z
-77.0563710303	38.9093601595	5591515	12795121	False	P055	NO PARKING ANYTIME	2700 BLOCK P ST NW NORTH SIDE	TX	PU	802437	2152.0	395111	137945	Parking_Violations_in_January_2010.csv	2010-01-28T16:55:00.000Z
-77.039672557	38.9031512608	7635802	3781298	False	P170	FAILURE TO DISPLAY CURRENT TAGS	1100 BLOCK CONNECTICUT AV NW WEST S	DC	4D	804979	4297.0	396559	137255	Parking_Violations_in_October_2012.csv	2012-10-11T23:03:00.000Z
-77.0074728188	38.9025271735	3095662	3771814	False	P039	PARK AT EXPIRED METER	UNIT BLOCK K ST NE SOUTH SIDE	VA	2D	808361	7159.0	399352	137185	Parking_Violations_in_October_2012.csv	2012-10-22T07:49:00.000Z
-77.0249748914	38.9072451195	11852078	876882	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	1000 BLOCK N ST NW NORTH SIDE	MD	4D	809016	7719.0	397834	137709	Parking_Violations_in_January_2015.csv	2015-01-15T13:07:00.000Z
